customer_id,username,feedback_category,sentiment,complaint_intensity,raw_text
9888f72da15b,نورالدين أحوفي,service_quality,neutral,1,باش دخل روشارج عادية 50 درهم.. واش تكتب 555 والأرقام وتاصل صافي ؟
5d5fac6138b8,Mohamad Azemate,service_quality,neutral,1,فوقاش غدي ارجعو العرض ديال أورونج 30 درهم الشهر
a63046414bc0,حنين حسن,pricing,neutral,1,امتى عرض 20درهم 15يوم
bbac1ac598c6,Hakim Widadi,service_quality,neutral,2,امتا غادي ترجع نجمة 6
007e1263c49e,Asmae Chafir,service_quality,neutral,1,Wach kyn 3ard 50 *6
eed5a970497a,Dounya Oil,pricing,neutral,2,Waxx gheda ghadii yrj3 l3rd dyall 10dh o5 dh o20 dh *6
dd6271493e6f,Bdlkbir Ounagh,service_quality,neutral,1,واش 20دهم فيها 15يوم لامحدود
cbc58276a7dc,عبد المولى الصحراوي,pricing,neutral,1,واش كين العرض ديال نجمة 6 فا20درهم
78a8f7a651bb,Dafir Youssef,pricing,negative,3,غدين نبقاو نتسناو 6 30درهم شهر
861e561d29e8,Yahya Khoya,pricing,negative,2,واش مكيناش 30 درهم
8642dec5ee2c,Hassna BG,service_quality,neutral,1,واش متوفر حاليا العرض
00d687a3e92d,Abdélmoùlà Kàmàl,pricing,negative,3,حتى 20 درهم *6 حيدتوها
1f68f69e7f82,Hiba Hiba,churn_intent,negative,3,دابا مبغيتوش ترجع لينا *6
bbac1ac598c6,Hakim Widadi,service_quality,neutral,1,واش كينا نجمة 6
d6edb718136c,Hãň Äņə,pricing,negative,4,الله ياخذ فيكم الحق جميع دول العرب شركات لاتصال ديالهم دايرين لهم عروض رخيصة إلا نتما حتى *6 30 درهم لي برأسها كتجينا غاليه حيدتوها
a6ac277b9a6b,Aya Idrissi,service_quality,neutral,1,امتى سترجع عرض *6؟
a6ac277b9a6b,Aya Idrissi,service_quality,neutral,1,Orange امتى سترجع عرض *6؟
c29b8d8d00ee,زهير الادرسي,service_quality,neutral,1,امتى سترجع عرض *6؟
4cb0639fade3,زهير الادريسي,service_quality,neutral,1,امتى سترجع عرض *6؟
48f770bec81d,Zohiur Idirissi,service_quality,neutral,1,امتى سترجع عرض *6؟
deab6d7162f6,Soukayna Nadir,service_quality,negative,3,السلام عليكم، الريزو ديال أورونج عندي ضعيف بزاف فالدار، كيمشي ويجي. بغيت ندير طلب باش تشوفو التغطية فالمنطقة ديالي
5d1118ff869d,Hajar Hajar,service_quality,negative,3,رجعو نجمة 6 تفوووو
8767eeed6d62,Soukaina Ahsanu,pricing,neutral,1,بغينا عرض 30dh *6
1fd016f38068,اتفاق,service_quality,neutral,2,دبا غير قولو لينا علاش حابسين نجمة 6
91e04f8f2d22,Fatim EL,pricing,negative,2,بغنا لعرض نجمة ستة تلاتين درهم
eb425eff8231,Aziz Karim Zamroud,pricing,negative,3,مبغنا ولو غير 0dh
20ba0880ebc9,نهيلة نهيلة,service_quality,neutral,1,واش بصاح رجع العرض نجمة 6
cb725823157e,Boston,service_quality,neutral,1,. · Follow
72d130e6057f,ᎠᏫᎯᎯ ᎠᏫᎯᎯ,service_quality,positive,1,ديرو الخير فهاد العيد وردو لينا *6
e8901d80ce19,Youssef Youssef,pricing,neutral,1,واش 30 نجمة 6 لا محدود
173facd5c218,Hind Allaly,pricing,neutral,2,واش كين عرض نجمة 6 تع 20 درهم ليوم ؟؟
c2ae4e271e75,Mohamed Med,pricing,negative,3,بغينا نجمة 6 ديال 30 درهم زعما مطلقوهاش فهاد العيد ؟
068816a42a96,rissala,pricing,neutral,1,واش *6 20 درهم متوفر حاليا Orange
fd334d52d2af,هند هند,service_quality,neutral,1,وش كين عرض نجمة 6
fd7b229c3d0e,مريم كرم,service_quality,neutral,1,واش كاين عرض نجمة ستة عشرون درهم من لامحدود مدة خمسة عشر يوماً
63babe72df0b,Mohamed Faiz,service_quality,negative,3,واش ريزو هاد أيام فيه شي مشكيل راه مبقاش خدام لمكالمة لا كونكسيو مع علم كان من قبل خدام مزيان
0b6ee9255945,Lina Cilvana,pricing,neutral,2,واش كاين.عشرين درهم لامحدود
4fad0cd786a3,Ssifdin Abbassi,service_quality,neutral,1,واش كاين العرض *6
4c33096547c6,Zahra Zahra,service_quality,neutral,1,واش كاين عرض 20 درهم 15 يوم*6
97bfee7821f1,Khalid West,service_quality,neutral,1,كيفاش نقدر نحول رصيد دراهم للأنترنيت
723af4d48385,ياسين بديعي,service_quality,neutral,1,شنو كاين عرض 50 درهم *6
b61397b23b8b,Abd L Hadi,service_quality,neutral,1,واش كاين عرض فاورونج 20درهم
e4a3f2408ad9,Ahmed Elallaoui,service_quality,negative,3,را كاين مشكل في الفيبر في روش نوار
af3caf2afdcd,مانشستر ستي الرجاء,service_quality,neutral,1,ونجمة 6 30 درهم امتا غاترجع
df73d90dccfc,Abde Louadoud,customer_support,negative,4,شركة فاشلة و كذابين . شريت عندكم تيليفون و مبغيتيش ديرو ليه ليفريزون
d2f0f5455d6c,Omar Benallal,service_quality,negative,4,ADSL orange مخدامش عندي من صباح
989551d19ed9,Romanci El,service_quality,neutral,1,Orange *6 فوقاش اخر اجل
0bdaddc974e8,Hatim El,pricing,neutral,1,بغين عرض 30 درهم*6 لمحدود
f154e1c8aca3,Solaimane El,pricing,neutral,2,وش بصحه 20درهم كدوز15يوم
8101f01e969d,All Gawski,service_quality,positive,1,Sometimes I think we should live more than a hundred years with perfect physical and mental health to get to know so many beautiful and special places that the world has to offer. Scotland is one of those romantic paradises.
99b4d1e889ca,Natalie Ann Mazzola,service_quality,neutral,1,"Just returned to US after 6 weeks in Scotland! Starting and ended in Edinburgh! Who doesn’t love it?!!As my family history dates back to 17th century, I felt like I was walking on my own land! The music, the vistas, the people and food, but more…"
419dd34d8497,Trisha O'Sullivan,service_quality,positive,1,Edinburgh is definitely one of the most beautiful places on earth. Highly recommend a trip there once a year to soothe the soul.
35eba8c1f7ac,Beata Kasprzak,service_quality,positive,1,"So magical, like going back to childhood story time"
15b9a86a3c31,Lesley MacKenzie,service_quality,neutral,1,"I wish. I'd love to see our old home in Stockbridge, visit the Botanics and see a Fringe show. Too far and too old now, sadly. Memories have to suffice. Love from Queensland, Australia"
a3ea9a7345f8,Mak Reyes,service_quality,positive,1,This brings back some beautiful memories of 2011-2019 when i was working in offshore somewhere in north sea. Indeed edinburgh is the best city in the world. Infact leith is my stress reliever
a17ec53cf572,Lhssan Hanan,service_quality,neutral,1,Wwach kayn l3ard 20 dh 15 lyom
02c196e9674a,Kawtar Ell,pricing,neutral,1,وش مزال متوفرة 50dh
3b3cd3fb3d8f,Abd Elmouine,service_quality,negative,2,wlad l9hab 1G fina hya
57cef52c7638,Mustapha Larache,service_quality,neutral,1,واش ممكن نشرحيها وخا عندي اشتراك
31cadc67e6b3,Youssef El Asli,customer_support,negative,4,J'aimerai bien savoir après plusieurs réclamations en ce qui conserne l'absence du réseau à la ville de rommani tous les week end sans aucune suite favorable
f542ce7900cb,ᎶᎯᏒᏨᏫᏁ ᎬᏞᎬᎶᎯᏁᎿ,service_quality,neutral,2,واش كتنزو على لوقت
1f7a32ef4498,Malak Benouna,service_quality,negative,3,فين 1g جوج مرات و نتوما تفلاو على عياد الله كن غا درت اتصالات
14ec48d7bbf5,Ÿõû SSêf,service_quality,neutral,1,واش عرض ديال 15 يوم كااين ؟
695711edf2da,Salimi Mounir,churn_intent,negative,4,الإخوان، بغيت نلغي الفورفي ولكن ما عرفت مع من نتواصل. درتو بعدما جربتو فالمنطقة القروية ديال مولاي يعقوب، وللأسف الريزو منعدم تقريباً وما كاين حتى تغطية. الغريب فالأمر أن جميع الطرق كتوصل بسهولة للاشتراك وأداء الفاتورة، لكن ملي كيبغي الزبون يلغي الاشتراك كيولي التواصل شبه مستحيل. نتمنى من الشركة توفر وسيلة واضحة وسهلة لإلغاء الاشتراك، بحال ما وفرت وسائل عديدة للاشتراك. فالخدمة خاصها تكون مبنية على الوضوح واحترام الزبون قبل أي شيء آخر.
b70c7da2f67c,Otman Chafyq,service_quality,neutral,1,لمتخب لمغربي سجل هدف عطيونا 1Goدبا صيفطوها لينا أنا مسجل ومجاني والو
3b165ae8fe37,Safia ZI,service_quality,neutral,2,فوقاااش غادي يرجع لعرض *6
c5774e512898,Rajae Merzaq,service_quality,neutral,1,فوقاش ليرجع العرض
175aa86deb85,Youssef Bz,service_quality,negative,3,ما بغينى حتا نجمة من غير نجمة 6*
99c414ac0077,Ome Banat,pricing,neutral,1,10 دراهم*6 شحال تدي ليا من نهار
3fbd258ea067,Imane Imane,service_quality,neutral,1,واش كاين عرض 30 درهم نجمة 6 جاوبونا عفاكم الا كان نديروه
3fbd258ea067,Imane Imane,pricing,negative,3,و سؤال مطروح علاش عرض 30 درهم رديته 50 درهم ؟
92b9b658ad28,Jawad Saddik,service_quality,neutral,1,فينو ريزو لي غادن نخدم بيه
a91196bface9,فاطيمة فاطيمة,service_quality,neutral,1,واش كاين العرض ديال 20درهم نمجة6
ee170f02142f,Simo Elkhorsi,service_quality,neutral,1,عروض اورونج
4403f99e57a6,المتفائلة بالله,service_quality,neutral,1,واش كاين عرض* 6 20 درهم 15
af4cab4b60f5,ۦٰ ۦٰ,service_quality,neutral,1,3ndi ridmi nout 12 imkn liya nbdlou
