customer_id,feedback_category,sentiment,complaint_intensity,raw_text
1572177951614269.0,service_quality,neutral,1,خـاصاني كونيكسيون😓🤝🏻🙂
1571196298379101.0,customer_support,negative,5,والله يخد فيكم لحق فين هيا 1 جيغا
1567704228728308.0,customer_support,negative,5,وا فين الجيغا لي قلتو لينا البيت تماركا والماتش سالا وشي جيغا ماشفناها يالكذابا
1566461872185877.0,service_quality,neutral,1,وش كينة لعرد ديال اورونج 50درهم نجمة 6
1565991668899564.0,service_quality,neutral,1,"السلام عليكم
باش نقدرو نساعدوكم بشكل أفضل، المرجو تواصلوا معانا برسالة خاصة.
نهاركم مبروك،
اورنج."
1565307245634673.0,service_quality,neutral,1,وش كان  *6
1563645145800883.0,service_quality,neutral,1,واش كين العرض 20 درهم نجمة 6
1563500000000000.0,pricing,negative,3,رجعو نجمة 6 30 درهم
1562200000000000.0,service_quality,neutral,1,(No comments available)
1562052529293478.0,service_quality,neutral,1,هل يوجد عرض نجمة 6 ديال 20 درهم
1560899166075481.0,service_quality,neutral,1,واش كاين عرض  30 درهم نجمة 6  جاوبونا عفاكم الا كان نديروه
1557081356457262.0,pricing,negative,3,واش ضارب بوكم الزعل ولا شنو ؟ 25جيجا ب300درهم ؟ واش حنا في امريكا ولا سويسرا  الله يعطيكم الإفلاس عيقتو بزاف
1555842146581183.0,service_quality,neutral,1,ونجمة واحد شنو فيها ؟
1554702803361784.0,service_quality,neutral,1,(No comments available)
1552310490267682.0,service_quality,neutral,1,واش كاين العرض *6
1552065420292189.0,service_quality,neutral,1,واش كين العرض ديال 50 درهم *6
1551737566991641.0,service_quality,neutral,1,واش العرض 50 درهم*6
1550782763753788.0,pricing,negative,3,رجعو لينا 30درهم*6
1545383120960419.0,service_quality,neutral,1,ديرو الخير فهاد العيد وردو لينا *6
1544468671051864.0,customer_support,negative,5,عطيوني رقم للتواصل مع تكنيسيان راه الويفي مشا لينا من البارح او مخلص
