customer_id,feedback_category,sentiment,complaint_intensity,raw_text
9888f72da15b,service_quality,neutral,1,باش دخل روشارج عادية 50 درهم.. واش تكتب 555 والأرقام وتاصل صافي ؟
5d5fac6138b8,service_quality,neutral,1,فوقاش غدي ارجعو العرض ديال أورونج 30 درهم الشهر
a63046414bc0,pricing,neutral,1,امتى عرض 20درهم 15يوم
bbac1ac598c6,service_quality,neutral,2,امتا غادي ترجع نجمة 6
007e1263c49e,pricing,neutral,1,Wach kyn 3ard 50 *6
eed5a970497a,pricing,neutral,2,Waxx gheda ghadii yrj3 l3rd dyall 10dh o5 dh o20 dh *6
dd6271493e6f,service_quality,neutral,1,واش 20دهم فيها 15يوم لامحدود
cbc58276a7dc,service_quality,neutral,1,واش كين العرض ديال نجمة 6 فا20درهم
78a8f7a651bb,pricing,negative,3,غدين نبقاو نتسناو 6 30درهم شهر
861e561d29e8,pricing,neutral,2,واش مكيناش 30 درهم
8642dec5ee2c,service_quality,neutral,1,واش متوفر حاليا العرض
00d687a3e92d,pricing,negative,3,حتى 20 درهم *6 حيدتوها
1f68f69e7f82,churn_intent,negative,3,دابا مبغيتوش ترجع لينا *6
bbac1ac598c6,service_quality,neutral,1,واش كينا نجمة 6
d6edb718136c,pricing,negative,4,الله ياخذ فيكم الحق جميع دول العرب شركات لاتصال ديالهم دايرين لهم عروض رخيصة إلا نتما حتى *6 30 درهم لي برأسها كتجينا غاليه حيدتوها
a6ac277b9a6b,service_quality,neutral,1,امتى سترجع عرض *6؟
a6ac277b9a6b,service_quality,neutral,1,Orange امتى سترجع عرض *6؟
c29b8d8d00ee,service_quality,neutral,1,امتى سترجع عرض *6؟
4cb0639fade3,service_quality,neutral,1,امتى سترجع عرض *6؟
48f770bec81d,service_quality,neutral,1,امتى سترجع عرض *6؟
deab6d7162f6,service_quality,negative,4,السلام عليكم، الريزو ديال أورونج عندي ضعيف بزاف فالدار، كيمشي ويجي. بغيت ندير طلب باش تشوفو التغطية فالمنطقة ديالي
5d1118ff869d,service_quality,positive,1,رجعو نجمة 6 تفوووو
8767eeed6d62,pricing,neutral,1,بغينا عرض 30dh *6
1fd016f38068,service_quality,negative,3,دبا غير قولو لينا علاش حابسين نجمة 6
91e04f8f2d22,pricing,neutral,2,بغنا لعرض نجمة ستة تلاتين درهم
eb425eff8231,pricing,negative,2,مبغنا ولو غير 0dh
20ba0880ebc9,service_quality,neutral,1,واش بصاح رجع العرض نجمة 6
e8d738aca5e8,service_quality,neutral,1,is in Boston . · Follow
cb725823157e,service_quality,neutral,1,. · Follow
72d130e6057f,service_quality,positive,1,ديرو الخير فهاد العيد وردو لينا *6
e8901d80ce19,service_quality,neutral,1,واش 30 نجمة 6 لا محدود
173facd5c218,pricing,neutral,2,واش كين عرض نجمة 6 تع 20 درهم ليوم ؟؟
c2ae4e271e75,pricing,negative,3,بغينا نجمة 6 ديال 30 درهم زعما مطلقوهاش فهاد العيد ؟
068816a42a96,service_quality,neutral,1,واش *6 20 درهم متوفر حاليا Orange
fd334d52d2af,service_quality,neutral,1,وش كين عرض نجمة 6
fd7b229c3d0e,service_quality,neutral,1,واش كاين عرض نجمة ستة عشرون درهم من لامحدود مدة خمسة عشر يوماً
63babe72df0b,service_quality,negative,3,واش ريزو هاد أيام فيه شي مشكيل راه مبقاش خدام لمكالمة لا كونكسيو مع علم كان من قبل خدام مزيان
0b6ee9255945,pricing,neutral,2,واش كاين.عشرين درهم لامحدود
4fad0cd786a3,service_quality,neutral,1,واش كاين العرض *6
4c33096547c6,service_quality,neutral,1,واش كاين عرض 20 درهم 15 يوم*6
97bfee7821f1,service_quality,neutral,1,كيفاش نقدر نحول رصيد دراهم للأنترنيت
723af4d48385,service_quality,neutral,1,شنو كاين عرض 50 درهم *6
b61397b23b8b,service_quality,neutral,1,واش كاين عرض فاورونج 20درهم
e4a3f2408ad9,service_quality,negative,3,را كاين مشكل في الفيبر في روش نوار
af3caf2afdcd,pricing,neutral,2,ونجمة 6 30 درهم امتا غاترجع
df73d90dccfc,customer_support,negative,4,شركة فاشلة و كذابين . شريت عندكم تيليفون و مبغيتيش ديرو ليه ليفريزون
d2f0f5455d6c,service_quality,negative,4,ADSL orange مخدامش عندي من صباح
989551d19ed9,service_quality,neutral,1,Orange *6 فوقاش اخر اجل
0bdaddc974e8,pricing,neutral,1,بغين عرض 30 درهم*6 لمحدود
f154e1c8aca3,pricing,neutral,1,وش بصحه 20درهم كدوز15يوم
8101f01e969d,service_quality,positive,1,Sometimes I think we should live more than a hundred years with perfect physical and mental health to get to know so many beautiful and special places that the world has to offer. Scotland is one of those romantic paradises.
99b4d1e889ca,service_quality,positive,1,"Just returned to US after 6 weeks in Scotland! Starting and ended in Edinburgh! Who doesn’t love it?!!As my family history dates back to 17th century, I felt like I was walking on my own land! The music, the vistas, the people and food, but more…"
419dd34d8497,service_quality,positive,1,Edinburgh is definitely one of the most beautiful places on earth. Highly recommend a trip there once a year to soothe the soul.
35eba8c1f7ac,service_quality,positive,1,"So magical, like going back to childhood story time"
